Source: USDA National Nutrient Database for Standard Reference 28 Software v.3.5.5.2 2016-11-26
"Nutrients: Protein (g); Carbohydrate, by difference (g); Total lipid (fat) (g)"
"Food Groups: Baked Products; Breakfast Cereals; Cereal Grains and Pasta; Fats and Oils; Fruits and Fruit Juices; Legumes and Legume Products; Nut and Seed Products; Spices and Herbs; Vegetables and Vegetable Products"
Food Subset:Abridged List
Ordered by:Food Name
Measured by:100 g
Report Run at: 11-29-2016T06:38
NDB_NO,Description,"Protein"(g)Per 100 g,"Carbohydrate, by difference"(g)Per 100 g,"Total lipid (fat)"(g)Per 100 g,
12097,"Nuts, chestnuts, european, raw, unpeeled",2.42,45.54,2.26,,
12116,"Nuts, coconut cream, canned, sweetened",1.17,53.21,16.31,,
12115,"Nuts, coconut cream, raw (liquid expressed from grated meat)",3.63,6.65,34.68,,
12108,"Nuts, coconut meat, dried (desiccated), not sweetened",6.88,23.65,64.53,,
12109,"Nuts, coconut meat, dried (desiccated), sweetened, flaked, packaged",3.13,51.85,27.99,,
12114,"Nuts, coconut meat, dried (desiccated), toasted",5.3,44.4,47.0,,
12120,"Nuts, hazelnuts or filberts",14.95,16.7,60.75,,
12737,"Nuts, mixed nuts, oil roasted, with peanuts, lightly salted",20.04,21.05,53.95,,
20132,"Oat flour, partially debranned",14.66,65.7,9.12,,
04582,"Oil, canola",0.0,--,100.0,,
04501,"Oil, cocoa butter",0.0,--,100.0,,
04583,"Oil, mustard",0.0,--,100.0,,
04053,"Oil, olive, salad or cooking",0.0,--,100.0,,
04510,"Oil, safflower, salad or cooking, linoleic, (over 70%)",0.0,--,100.0,,
04058,"Oil, sesame, salad or cooking",0.0,--,100.0,,
04543,"Oil, soybean, salad or cooking, (partially hydrogenated) and cottonseed",0.0,--,100.0,,
04584,"Oil, sunflower, high oleic (70% and over)",0.0,--,100.0,,
11281,"Okra, frozen, cooked, boiled, drained, without salt",1.63,6.41,0.24,,
11280,"Okra, frozen, unprepared",1.69,6.63,0.25,,
09195,"Olives, pickled, canned or bottled, green",1.03,3.84,15.32,,
09193,"Olives, ripe, canned (small-extra large)",0.84,6.26,10.68,,
11284,"Onions, dehydrated flakes",8.95,83.28,0.46,,
11288,"Onions, frozen, chopped, cooked, boiled, drained, without salt",0.77,6.59,0.1,,
11287,"Onions, frozen, chopped, unprepared",0.79,6.82,0.1,,
11290,"Onions, frozen, whole, cooked, boiled, drained, without salt",0.71,6.7,0.05,,
11289,"Onions, frozen, whole, unprepared",0.89,8.45,0.06,,
11282,"Onions, raw",1.1,9.34,0.1,,
11294,"Onions, sweet, raw",0.8,7.55,0.08,,
09211,"Orange juice, chilled, includes from concentrate, with added calcium",0.68,11.27,0.12,,
09210,"Orange juice, chilled, includes from concentrate, with added calcium and vitamin D",0.68,11.27,0.12,,
09214,"Orange juice, frozen concentrate, unsweetened, undiluted",2.4,35.19,0.25,,
09216,"Orange peel, raw",1.5,25.0,0.2,,
09201,"Oranges, raw, California, valencias",1.04,11.89,0.3,,
09205,"Oranges, raw, with peel",1.3,15.5,0.3,,
18295,"Pancakes, buckwheat, dry mix, incomplete",10.9,71.3,2.7,,
18936,"Pancakes, plain, frozen, ready-to-heat, microwave (includes buttermilk)",5.88,43.33,4.73,,
09228,"Papaya, canned, heavy syrup, drained",0.14,55.83,0.55,,
09226,"Papayas, raw",0.47,10.82,0.26,,
09231,"Passion-fruit, (granadilla), purple, raw",2.2,23.38,0.7,,
20120,"Pasta, dry, enriched",13.04,74.67,1.51,,
20420,"Pasta, dry, unenriched",13.04,74.67,1.51,,
20093,"Pasta, fresh-refrigerated, plain, as purchased",11.31,54.73,2.3,,
20095,"Pasta, fresh-refrigerated, spinach, as purchased",11.26,55.72,2.1,,
20124,"Pasta, whole-wheat, dry",13.87,73.37,2.93,,
09242,"Peaches, canned, extra heavy syrup pack, solids and liquids",0.47,26.06,0.03,,
09240,"Peaches, canned, light syrup pack, solids and liquids",0.45,14.55,0.03,,
09237,"Peaches, canned, water pack, solids and liquids",0.44,6.11,0.06,,
09245,"Peaches, dehydrated (low-moisture), sulfured, stewed",2.01,34.14,0.42,,
16390,"Peanuts, all types, dry-roasted, without salt",24.35,21.26,49.66,,
16394,"Peanuts, valencia, oil-roasted, without salt",27.04,16.3,51.24,,
09256,"Pears, canned, light syrup pack, solids and liquids",0.19,15.17,0.03,,
09260,"Pears, dried, sulfured, stewed, without added sugar",0.91,33.81,0.31,,
09252,"Pears, raw",0.36,15.23,0.14,,
11323,"Peas and carrots, frozen, cooked, boiled, drained, without salt",3.09,10.12,0.42,,
11302,"Peas, edible-podded, frozen, unprepared",2.8,7.2,0.3,,
11300,"Peas, edible-podded, raw",2.8,7.55,0.2,,
11304,"Peas, green, raw",5.42,14.45,0.4,,
11316,"Peas, mature seeds, sprouted, raw",8.8,27.11,0.68,,
11982,"Peppers, pasilla, dried",12.35,51.13,15.85,,
11634,"Peppers, sweet, green, freeze-dried",17.9,68.7,3.0,,
09263,"Persimmons, japanese, raw",0.58,18.59,0.19,,
18943,"Pie Crust, Cookie-type, Chocolate, Ready Crust",6.08,64.48,22.42,,
18947,"Pie crust, deep dish, frozen, baked, made with enriched flour",6.1,52.47,31.84,,
18945,"Pie crust, deep dish, frozen, unbaked, made with enriched flour",5.52,46.79,28.74,,
18304,"Pie, banana cream, prepared from recipe",4.4,32.9,13.6,,
18305,"Pie, blueberry, commercially prepared",1.8,34.9,10.0,,
18308,"Pie, cherry, commercially prepared",2.0,39.8,11.0,,
18944,"Pie, Dutch Apple, Commercially Prepared",2.17,44.54,11.5,,
18319,"Pie, fried pies, fruit",3.0,42.6,16.1,,
18629,"PILLSBURY, Buttermilk Biscuits, Artificial Flavor, refrigerated dough",6.4,47.07,2.79,,
18630,"PILLSBURY, Chocolate Chip Cookies, refrigerated dough",3.82,60.75,21.26,,
18635,"PILLSBURY, Cinnamon Rolls with Icing, refrigerated dough",4.34,53.42,11.27,,
18631,"PILLSBURY, Crusty French Loaf, refrigerated dough",8.59,46.35,2.88,,
09278,"Plantains, cooked",0.79,31.15,0.18,,
09277,"Plantains, raw",1.3,31.89,0.37,,
11351,"Pokeberry shoots, (poke), cooked, boiled, drained, without salt",2.3,3.1,0.4,,
09442,"Pomegranate juice, bottled",0.15,13.13,0.29,,
11364,"Potatoes, baked, skin, without salt",4.29,46.06,0.1,,
11833,"Potatoes, boiled, cooked without skin, flesh, with salt",1.71,20.01,0.1,,
11367,"Potatoes, boiled, cooked without skin, flesh, without salt",1.71,20.01,0.1,,
11352,"Potatoes, flesh and skin, raw",2.05,17.49,0.09,,
11406,"Potatoes, french fried, cottage-cut, salt not added in processing, frozen, as purchased",2.42,23.98,5.78,,
11378,"Potatoes, mashed, dehydrated, flakes without milk, dry form",8.34,81.17,0.41,,
11379,"Potatoes, mashed, dehydrated, prepared from flakes without milk, whole milk and butter added",1.77,10.87,5.13,,
11383,"Potatoes, mashed, dehydrated, prepared from granules with milk, water and margarine added",2.13,16.13,4.8,,
11381,"Potatoes, mashed, dehydrated, prepared from granules without milk, whole milk and butter added",2.05,14.36,4.96,,
11361,"Potatoes, roasted, salt added in processing, frozen, unprepared",2.22,26.15,1.81,,
11356,"Potatoes, Russet, flesh and skin, baked",2.63,21.44,0.13,,
11372,"Potatoes, scalloped, home-prepared with butter",2.87,10.78,3.68,,
11428,"Purslane, cooked, boiled, drained, without salt",1.49,3.55,0.19,,
11427,"Purslane, raw",2.03,3.39,0.36,,
11429,"Radishes, raw",0.68,3.4,0.1,,
20090,"Rice flour, brown",7.23,76.48,2.78,,
20134,"Rice noodles, cooked",1.79,24.01,0.2,,
20545,"Rice, white, long-grain, regular, cooked, unenriched, with salt",2.69,28.17,0.28,,
20444,"Rice, white, long-grain, regular, raw, unenriched",7.13,79.95,0.66,,
20451,"Rice, white, medium-grain, cooked, unenriched",2.38,28.59,0.21,,
09428,"Rowal, raw",2.3,23.9,2.0,,
04133,"Salad dressing, french, home recipe",0.1,3.4,70.2,,
04013,"Salad dressing, KRAFT Mayo Fat Free Mayonnaise Dressing",0.2,15.8,0.0,,
04018,"Salad dressing, mayonnaise type, regular, with salt",0.65,14.78,21.6,,
04028,"Salad dressing, mayonnaise, imitation, milk cream",2.1,11.1,5.1,,
04027,"Salad dressing, mayonnaise, imitation, soybean",0.3,16.0,19.2,,
04025,"Salad dressing, mayonnaise, regular",0.96,0.57,74.85,,
04026,"Salad dressing, mayonnaise, soybean and safflower oil, with salt",1.1,2.7,79.4,,
04022,"Salad dressing, russian dressing, low calorie",0.5,27.6,4.0,,
04016,"Salad dressing, sesame seed dressing, regular",3.1,8.6,45.2,,
04023,"Salad dressing, thousand island dressing, reduced fat",0.83,24.06,11.32,,
12013,"Seeds, lotus seeds, dried",15.41,64.47,1.97,,
12516,"Seeds, pumpkin and squash seed kernels, roasted, with salt added",29.84,14.71,49.05,,
12022,"Seeds, safflower seed meal, partially defatted",35.62,48.73,2.39,,
12033,"Seeds, sesame flour, low-fat",50.14,35.51,1.75,,
12038,"Seeds, sunflower seed kernels, oil roasted, without salt",20.06,22.89,51.3,,
12039,"Seeds, sunflower seed kernels, toasted, without salt",17.21,20.59,56.8,,
11447,"Sesbania flower, raw",1.28,6.73,0.04,,
04546,"Shortening bread, soybean (hydrogenated) and cottonseed",0.0,--,100.0,,
20648,"Sorghum flour, whole-grain",8.43,76.64,3.34,,
11451,"Soybeans, green, cooked, boiled, drained, without salt",12.35,11.05,6.4,,
11450,"Soybeans, green, raw",12.95,11.05,6.8,,
11453,"Soybeans, mature seeds, sprouted, cooked, steamed",8.47,6.53,4.45,,
02002,"Spices, anise seed",17.6,50.02,15.9,,
02004,"Spices, bay leaf",7.61,74.97,8.36,,
02005,"Spices, caraway seed",19.77,49.9,14.59,,
02010,"Spices, cinnamon, ground",3.99,80.59,1.24,,
02015,"Spices, curry powder",14.29,55.83,14.01,,
02021,"Spices, ginger, ground",8.98,71.62,4.24,,
02022,"Spices, mace, ground",6.71,50.5,32.38,,
02023,"Spices, marjoram, dried",12.66,60.56,7.04,,
02024,"Spices, mustard seed, ground",26.08,28.09,36.24,,
02025,"Spices, nutmeg, ground",5.84,49.29,36.31,,
02039,"Spices, savory, ground",6.73,68.73,5.91,,
02041,"Spices, tarragon, dried",22.77,50.22,7.24,,
02042,"Spices, thyme, dried",9.11,63.94,7.43,,
02043,"Spices, turmeric, ground",9.68,67.14,3.25,,
11459,"Spinach, canned, regular pack, solids and liquids",2.11,2.92,0.37,,
11457,"Spinach, raw",2.86,3.63,0.39,,
11474,"Squash, summer, crookneck and straightneck, frozen, cooked, boiled, drained, without salt",1.28,5.54,0.2,,
11478,"Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt",1.14,2.69,0.36,,
11481,"Squash, summer, zucchini, italian style, canned",1.03,6.85,0.11,,
11865,"Squash, winter, acorn, cooked, boiled, mashed, with salt",0.67,8.79,0.08,,
11484,"Squash, winter, acorn, cooked, boiled, mashed, without salt",0.67,8.79,0.08,,
11486,"Squash, winter, butternut, cooked, baked, without salt",0.9,10.49,0.09,,
11488,"Squash, winter, butternut, frozen, cooked, boiled, without salt",1.23,10.05,0.07,,
11868,"Squash, winter, hubbard, baked, with salt",2.48,10.81,0.62,,
11869,"Squash, winter, hubbard, cooked, boiled, mashed, with salt",1.48,6.46,0.37,,
11491,"Squash, winter, hubbard, cooked, boiled, mashed, without salt",1.48,6.46,0.37,,
11873,"Swamp cabbage (skunk cabbage), cooked, boiled, drained, with salt",2.08,3.7,0.24,,
11647,"Sweet potato, canned, syrup pack, drained solids",1.28,25.36,0.32,,
11875,"Sweet potato, cooked, baked in skin, flesh, with salt",2.01,20.71,0.15,,
09437,"Tamarind nectar, canned",0.09,14.73,0.12,,
09218,"Tangerines, (mandarin oranges), raw",0.81,13.34,0.31,,
11526,"Taro, tahitian, cooked, without salt",4.16,6.85,0.68,,
20143,"Teff, cooked",3.87,19.86,0.65,,
18939,"Toaster pastries, fruit, toasted (include apple, blueberry, cherry, strawberry)",4.7,72.7,11.03,,
16426,"Tofu, raw, firm, prepared with calcium sulfate",17.27,2.78,8.72,,
11540,"Tomato juice, canned, with salt added",0.85,3.53,0.29,,
11886,"Tomato juice, canned, without salt added",0.85,3.53,0.29,,
11888,"Tomato products, canned, puree, with salt added",1.65,8.98,0.21,,
11547,"Tomato products, canned, puree, without salt added",1.65,8.98,0.21,,
11553,"Tomato products, canned, sauce, with onions",1.56,9.94,0.19,,
11557,"Tomato products, canned, sauce, with onions, green peppers, and celery",0.94,8.77,0.74,,
11559,"Tomato products, canned, sauce, with tomato tidbits",1.32,7.09,0.39,,
11531,"Tomatoes, red, ripe, canned, packed in tomato juice",0.79,3.47,0.25,,
11533,"Tomatoes, red, ripe, canned, stewed",0.91,6.19,0.19,,
18970,"Tortillas, ready-to-bake or -fry, flour, shelf stable",8.01,49.27,7.58,,
11563,"Tree fern, cooked, without salt",0.29,10.98,0.07,,
11893,"Turnip greens and turnips, frozen, cooked, boiled, drained, with salt",2.99,4.74,0.38,,
11569,"Turnip greens, cooked, boiled, drained, without salt",1.14,4.36,0.23,,
11892,"Turnip greens, frozen, cooked, boiled, drained, with salt",3.35,4.98,0.42,,
11575,"Turnip greens, frozen, cooked, boiled, drained, without salt",3.35,4.98,0.42,,
11574,"Turnip greens, frozen, unprepared",2.47,3.67,0.31,,
11567,"Turnips, frozen, cooked, boiled, drained, without salt",1.53,4.35,0.24,,
02050,"Vanilla extract",0.06,12.65,--,,
11578,"Vegetable juice cocktail, canned",0.93,3.87,0.31,,
20381,"Wheat flour, white, all-purpose, enriched, calcium-fortified",10.33,76.31,0.98,,
20481,"Wheat flour, white, all-purpose, unenriched",10.33,76.31,0.98,,
20083,"Wheat flour, white, bread, enriched",11.98,72.53,1.66,,
11200,"Yardlong bean, cooked, boiled, drained, without salt",2.53,9.18,0.1,,
